"","x","y","Regions","Species.richness","Phylogenetic.diversity","Functional.diversity","Functional.Phylognetic.diversity"
"272",1550000,2150000,12,0.0144927536231884,0.0882495802997697,0.261365583686594,2.96166375861252
"273",1950000,2150000,12,NA,NA,NA,NA
"274",2050000,2150000,12,NA,NA,NA,NA
"275",2250000,2150000,3,NA,NA,NA,NA
"276",2350000,2150000,3,0.0434782608695652,0.226116613451296,0.366825843206679,1.62228611868757
"277",3350000,2150000,12,0.188405797101449,0.564457303947423,0.866199138068648,1.53456981070322
"278",3450000,2150000,12,0.202898550724638,0.569798337884464,0.867618260624805,1.52267601173791
"279",3550000,2150000,12,NA,NA,NA,NA
"280",3650000,2150000,12,NA,NA,NA,NA
"281",3750000,2150000,12,NA,NA,NA,NA
"282",4250000,2150000,12,NA,NA,NA,NA
"283",-3350000,2050000,3,NA,NA,NA,NA
"284",-3250000,2050000,6,NA,NA,NA,NA
"285",-3150000,2050000,6,NA,NA,NA,NA
"286",-3050000,2050000,6,NA,NA,NA,NA
"287",-2950000,2050000,6,NA,NA,NA,NA
"288",-2850000,2050000,3,NA,NA,NA,NA
"289",-2750000,2050000,6,NA,NA,NA,NA
"290",-2650000,2050000,6,NA,NA,NA,NA
"291",-2550000,2050000,3,NA,NA,NA,NA
"292",-2450000,2050000,3,NA,NA,NA,NA
"293",-2350000,2050000,3,NA,NA,NA,NA
"294",-2250000,2050000,3,NA,NA,NA,NA
"295",-2150000,2050000,3,0.173913043478261,0.441449777876255,0.842257840372234,1.90793581191546
"296",-2050000,2050000,3,0.188405797101449,0.442554791316503,0.845923202505433,1.91145417268899
"297",-1950000,2050000,3,0.202898550724638,0.463062272169072,0.850147772962079,1.83592536912978
"298",-1850000,2050000,3,0.202898550724638,0.463062272169072,0.850147772962079,1.83592536912978
"299",-1750000,2050000,3,0.202898550724638,0.463062272169072,0.850147772962079,1.83592536912978
"300",-1650000,2050000,6,0.188405797101449,0.403516632840209,0.806298431270471,1.9981789241133
"301",-1550000,2050000,6,0.188405797101449,0.403516632840209,0.806298431270471,1.9981789241133
"302",-1450000,2050000,6,0.202898550724638,0.415058223124856,0.878117379795464,2.11564867498436
"303",-1350000,2050000,6,0.202898550724638,0.415058223124856,0.878117379795464,2.11564867498436
"304",-1250000,2050000,6,0.202898550724638,0.415058223124856,0.878117379795464,2.11564867498436
"305",-1150000,2050000,6,0.202898550724638,0.415058223124856,0.878117379795464,2.11564867498436
"306",-1050000,2050000,6,0.202898550724638,0.415058223124856,0.878117379795464,2.11564867498436
"307",-950000,2050000,6,0.202898550724638,0.415058223124856,0.878117379795464,2.11564867498436
"308",-850000,2050000,6,0.202898550724638,0.383690975083638,0.866008572430883,2.25704702134865
"309",850000,2050000,3,0.0869565217391304,0.326268516124505,0.793786977275316,2.43292545264283
"310",950000,2050000,3,NA,NA,NA,NA
"311",1050000,2050000,3,NA,NA,NA,NA
"312",1150000,2050000,3,NA,NA,NA,NA
"313",1250000,2050000,3,NA,NA,NA,NA
"314",1350000,2050000,12,NA,NA,NA,NA
"315",1450000,2050000,12,NA,NA,NA,NA
"316",1550000,2050000,3,0.0144927536231884,0.0882495802997697,0.261365583686594,2.96166375861252
"317",1650000,2050000,NA,0.0144927536231884,0.0882495802997697,0.261365583686594,2.96166375861252
"318",1750000,2050000,12,NA,NA,NA,NA
"319",2350000,2050000,3,0.0579710144927536,0.255653145841426,0.628191426963032,2.45720202227701
"320",3350000,2050000,12,0.202898550724638,0.582741851156685,0.870163920233493,1.49322366071066
"321",3450000,2050000,12,0.217391304347826,0.585275278364531,0.871061947255159,1.48829444785233
"322",3550000,2050000,12,NA,NA,NA,NA
"323",3650000,2050000,12,NA,NA,NA,NA
"324",3750000,2050000,12,NA,NA,NA,NA
"325",3950000,2050000,12,NA,NA,NA,NA
"326",4250000,2050000,12,NA,NA,NA,NA
"327",4350000,2050000,12,NA,NA,NA,NA
"328",4450000,2050000,12,NA,NA,NA,NA
"329",4550000,2050000,12,NA,NA,NA,NA
"330",-3350000,1950000,3,NA,NA,NA,NA
"331",-3250000,1950000,3,NA,NA,NA,NA
"332",-3150000,1950000,3,NA,NA,NA,NA
"333",-3050000,1950000,6,NA,NA,NA,NA
"334",-2950000,1950000,6,NA,NA,NA,NA
"335",-2850000,1950000,3,NA,NA,NA,NA
"336",-2750000,1950000,3,NA,NA,NA,NA
"337",-2650000,1950000,3,NA,NA,NA,NA
"338",-2550000,1950000,3,NA,NA,NA,NA
"339",-2450000,1950000,3,NA,NA,NA,NA
"340",-2350000,1950000,3,NA,NA,NA,NA
"341",-2250000,1950000,3,0.173913043478261,0.441449777876255,0.842257840372234,1.90793581191546
"342",-2150000,1950000,3,0.188405797101449,0.442554791316503,0.845923202505433,1.91145417268899
"343",-2050000,1950000,3,0.188405797101449,0.442554791316503,0.845923202505433,1.91145417268899
"344",-1950000,1950000,3,0.202898550724638,0.463062272169072,0.850147772962079,1.83592536912978
"345",-1850000,1950000,3,0.217391304347826,0.46965544012485,0.851373326143201,1.81276155540086
"346",-1750000,1950000,NA,0.159420289855072,0.36730414202942,0.759602936360873,2.0680489257865
"347",-1650000,1950000,3,0.202898550724638,0.415058223124856,0.878117379795464,2.11564867498436
"348",-1550000,1950000,6,0.202898550724638,0.415058223124856,0.878117379795464,2.11564867498436
"349",-1450000,1950000,6,0.202898550724638,0.415058223124856,0.878117379795464,2.11564867498436
"350",-1350000,1950000,6,0.188405797101449,0.383690341094035,0.86305106222372,2.24934268546574
"351",-1250000,1950000,6,0.188405797101449,0.383690341094035,0.86305106222372,2.24934268546574
"352",-1150000,1950000,6,0.202898550724638,0.415058223124856,0.878117379795464,2.11564867498436
"353",-1050000,1950000,6,0.202898550724638,0.415058223124856,0.878117379795464,2.11564867498436
"354",-950000,1950000,6,0.202898550724638,0.383690975083638,0.866008572430883,2.25704702134865
"355",850000,1950000,3,0.0869565217391304,0.326268516124505,0.793786977275316,2.43292545264283
"356",1150000,1950000,3,NA,NA,NA,NA
"357",1250000,1950000,3,NA,NA,NA,NA
"358",2250000,1950000,3,NA,NA,NA,NA
"359",3350000,1950000,12,0.202898550724638,0.584382019849395,0.867618260625608,1.48467651494344
"360",3450000,1950000,12,0.217391304347826,0.585275278364531,0.871061947255159,1.48829444785233
"361",3550000,1950000,12,NA,NA,NA,NA
"362",3650000,1950000,12,NA,NA,NA,NA
"363",3750000,1950000,12,NA,NA,NA,NA
"364",3850000,1950000,12,NA,NA,NA,NA
"365",3950000,1950000,12,NA,NA,NA,NA
"366",4250000,1950000,12,NA,NA,NA,NA
"367",4350000,1950000,12,NA,NA,NA,NA
"368",4450000,1950000,12,NA,NA,NA,NA
"369",-3350000,1850000,3,NA,NA,NA,NA
"370",-3250000,1850000,3,NA,NA,NA,NA
"371",-3150000,1850000,3,NA,NA,NA,NA
"372",-3050000,1850000,3,NA,NA,NA,NA
"373",-2950000,1850000,3,NA,NA,NA,NA
"374",-2850000,1850000,3,NA,NA,NA,NA
"375",-2750000,1850000,3,NA,NA,NA,NA
"376",-2650000,1850000,3,NA,NA,NA,NA
"377",-2550000,1850000,3,NA,NA,NA,NA
"378",-2450000,1850000,3,NA,NA,NA,NA
"379",-2350000,1850000,3,0.188405797101449,0.441450411865858,0.845215350579396,1.91463260167085
"380",-2250000,1850000,3,0.173913043478261,0.441449777876255,0.842257840372234,1.90793581191546
"381",-2150000,1850000,3,0.188405797101449,0.442554791316503,0.845923202505433,1.91145417268899
"382",-2050000,1850000,3,0.188405797101449,0.442554791316503,0.845923202505433,1.91145417268899
"383",-1950000,1850000,3,0.217391304347826,0.46965544012485,0.851373326143201,1.81276155540086
"384",-1850000,1850000,3,0.231884057971014,0.470190783969171,0.852566403874795,1.81323503765377
"385",850000,1850000,3,0.0869565217391304,0.326268516124505,0.793786977275316,2.43292545264283
"386",950000,1850000,3,NA,NA,NA,NA
"387",1050000,1850000,3,NA,NA,NA,NA
"388",2150000,1850000,3,NA,NA,NA,NA
"389",2250000,1850000,3,NA,NA,NA,NA
"390",3350000,1850000,3,0.217391304347826,0.599858960329462,0.871061947255962,1.45211125424808
"391",3450000,1850000,3,0.217391304347826,0.599858960329462,0.871061947255962,1.45211125424808
"392",3550000,1850000,12,0.202898550724638,0.593888395296337,0.860649028738075,1.4491763697599
"393",3650000,1850000,12,NA,NA,NA,NA
"394",3750000,1850000,12,NA,NA,NA,NA
"395",3850000,1850000,12,NA,NA,NA,NA
"396",4050000,1850000,12,NA,NA,NA,NA
"397",4150000,1850000,12,NA,NA,NA,NA
"398",4250000,1850000,12,NA,NA,NA,NA
